method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,0.87,1.0,0.02043723694999244,128.0,1
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,0.91,1.13,0.02298477812000783,144.64,1
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,0.91,1.33,0.025461359520022597,170.24,1
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,1024,0.94,1.56,0.02874404321001748,199.68,1
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,0.32,1.0,0.01585592161997738,128.0,1
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,0.4,1.67,0.025789522670002042,213.76,1
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,0.5,2.84,0.042135894220009504,363.52,1
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,1024,0.7,4.46,0.0658755175999795,570.88,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.85,1.0,0.019472029360040322,128.0,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,0.91,1.15,0.021841006259992354,147.2,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,0.92,1.32,0.024799672540002576,168.96,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,1024,0.93,1.56,0.027959788860016488,199.68,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.33,1.0,0.014963851690044976,128.0,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.48,1.7,0.025879104300111068,217.6,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.61,2.62,0.03871214695996969,335.36,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,1024,0.68,4.09,0.05943238005994317,523.52,1
uniform_random,disease_to_no_disease,128,0.3,1.0,0.006292620679960237,128.0,1
uniform_random,disease_to_no_disease,256,0.44,1.67,0.010398240240074302,213.76,1
uniform_random,disease_to_no_disease,512,0.66,2.6,0.015973942250011534,332.8,1
uniform_random,disease_to_no_disease,1024,0.79,3.67,0.025398015310001937,469.76,1
uniform_random,no_disease_to_disease,128,0.13,1.0,0.006248061910018805,128.0,1
uniform_random,no_disease_to_disease,256,0.16,1.89,0.011570604050020847,241.92,1
uniform_random,no_disease_to_disease,512,0.23,3.57,0.021625261760018475,456.96,1
uniform_random,no_disease_to_disease,1024,0.42,6.35,0.038367400710012586,812.8,1
wachter_style,disease_to_no_disease,128,0.06,1.0,0.018235655530043006,128.0,1
wachter_style,disease_to_no_disease,256,0.25,1.0,0.03207740046998879,256.0,1
wachter_style,disease_to_no_disease,512,0.79,1.0,0.05892738213001394,512.0,1
wachter_style,disease_to_no_disease,1024,0.82,1.0,0.11198890419994313,1024.0,1
wachter_style,no_disease_to_disease,128,0.03,1.0,0.018130655739978466,128.0,1
wachter_style,no_disease_to_disease,256,0.1,1.0,0.03197771059000843,256.0,1
wachter_style,no_disease_to_disease,512,0.31,1.0,0.05937379686002714,512.0,1
wachter_style,no_disease_to_disease,1024,0.61,1.0,0.11286822125000981,1024.0,1
countergan_one_shot,disease_to_no_disease,128,0.04,1.0,0.009377128140022251,128.0,3
countergan_one_shot,disease_to_no_disease,256,0.04,1.0,0.012369195290002608,256.0,3
countergan_one_shot,disease_to_no_disease,512,0.07,1.0,0.018082244890074435,512.0,3
countergan_one_shot,disease_to_no_disease,1024,0.1,1.0,0.02965116667000075,1024.0,3
countergan_one_shot,no_disease_to_disease,128,0.38,1.0,0.00887359078998088,128.0,3
countergan_one_shot,no_disease_to_disease,256,0.4,1.0,0.011131391240023731,256.0,3
